State;variable;kg marine fish per person and year
Bahia;X9.1.12.Pescada.fresca;0,068
Minas Gerais;X9.1.12.Pescada.fresca;0,004
Esp’rito Santo;X9.1.12.Pescada.fresca;0,022
Rio de Janeiro;X9.1.12.Pescada.fresca;0
S‹o Paulo;X9.1.12.Pescada.fresca;0,06
Paran‡;X9.1.12.Pescada.fresca;0,006
Santa Catarina;X9.1.12.Pescada.fresca;0,01
Rio Grande do Sul;X9.1.12.Pescada.fresca;0
Mato Grosso do Sul;X9.1.12.Pescada.fresca;0,013
Mato Grosso;X9.1.12.Pescada.fresca;0
Goi‡s;X9.1.12.Pescada.fresca;0
Distrito Federal;X9.1.12.Pescada.fresca;0,011
Rond™nia;X9.1.13.Pescadinha.fresca;0
Acre;X9.1.13.Pescadinha.fresca;0
Amazonas;X9.1.13.Pescadinha.fresca;0,023
Roraima;X9.1.13.Pescadinha.fresca;0
Par‡;X9.1.13.Pescadinha.fresca;0,098
Amap‡;X9.1.13.Pescadinha.fresca;0,088
Tocantins;X9.1.13.Pescadinha.fresca;0
Maranh‹o;X9.1.13.Pescadinha.fresca;0,149
Piau’;X9.1.13.Pescadinha.fresca;0,026
Cear‡;X9.1.13.Pescadinha.fresca;0
Rio Grande do Norte;X9.1.13.Pescadinha.fresca;0
Para’ba;X9.1.13.Pescadinha.fresca;0,024
Pernambuco;X9.1.13.Pescadinha.fresca;0,023
Alagoas;X9.1.13.Pescadinha.fresca;0
Sergipe;X9.1.13.Pescadinha.fresca;0
Bahia;X9.1.13.Pescadinha.fresca;0,011
Minas Gerais;X9.1.13.Pescadinha.fresca;0
Esp’rito Santo;X9.1.13.Pescadinha.fresca;0,012
Rio de Janeiro;X9.1.13.Pescadinha.fresca;0
S‹o Paulo;X9.1.13.Pescadinha.fresca;0,004
Paran‡;X9.1.13.Pescadinha.fresca;0
Santa Catarina;X9.1.13.Pescadinha.fresca;0,001
Rio Grande do Sul;X9.1.13.Pescadinha.fresca;0
Mato Grosso do Sul;X9.1.13.Pescadinha.fresca;0
Mato Grosso;X9.1.13.Pescadinha.fresca;0
Goi‡s;X9.1.13.Pescadinha.fresca;0
Distrito Federal;X9.1.13.Pescadinha.fresca;0
Rond™nia;X9.1.16.Tainha.fresca;0
Acre;X9.1.16.Tainha.fresca;0
Amazonas;X9.1.16.Tainha.fresca;0,301
Roraima;X9.1.16.Tainha.fresca;0
Par‡;X9.1.16.Tainha.fresca;0,076
